linger 停留/徘徊
retreat 撤退/後退
barrier 阻隔
diploma 學位證書
beneath [在/往]...下方
evacuation 疏散/撤離
toss 扔/拋/擲
insurance 保險
venue 場所
bleeding 出血/流血
seamless 連續的/順利的
scattered 分散的/散佈的
expand 擴展/發展/增加
blend 混合
stereotype 刻板印向/成見
malicious 惡意的
lenses 鏡片
casual 偶爾的
integration 結合/融合
scandal 醜聞
demand 強烈要求/需求
scrape 刮/削
deserve 應得/值得
tournament 錦標賽
intense 強烈的/認真的
lawn 草地/草坪
counter 櫃台
labor 勞工/工人
pace 步調
prescription 處方/處方藥
breif 短暫的/簡短的
abuse 侮辱/虐待

# 不常用
torso 軀幹
birds of prey 猛禽
shaved ice 剉冰
alligator 短吻鱷
add-ons 加在上面的(配料)
roam 漫步於
taro 芋頭
tourniquet 止血帶
bang 猛擊
intercom 對講機
surveillance 惡意的
starch 澱粉
nostalgia 懷舊之情
whiskers (貓科動物的)感覺毛
remain 遺體
